0 32640
1 32640
2 32640
3 32640
4 32640
5 32640
6 32635
7 32624
8 32623
9 32567
10 32490
11 32375
12 32151
13 31818
14 31399
15 30901
16 30590
17 30533
18 30511
19 30096
20 29782
21 29377
22 29041
23 28971
24 28971
25 29167
26 29495
27 30204
28 31199
29 31695
30 31864
31 31867
32 31803
33 31941
34 32069
35 32208
36 32005
37 31671
38 31227
39 30813
40 30446
41 30048
42 29871
43 29123
44 28212
45 27470
46 27134
47 26944
48 26803
49 26401
50 26321
51 26652
52 27601
53 28228
54 28556
55 28768
56 29264
57 29877
58 31171
59 31704
60 31923
61 31840
62 31753
63 32094
64 32283
65 32446
66 32467
67 32485
68 32167
69 31872
70 31571
71 30981
72 30569
73 30500
74 30556
75 30412
76 29931
77 29582
78 29367
79 29209
80 29160
81 29112
82 29176
83 29663
84 30619
85 31481
86 31796
87 31932
88 32010
89 31941
90 32084
91 32308
92 32515
93 32509
94 32319
95 31910
96 31331
97 30872
98 30513
99 30461
100 30580
101 30367
102 29866
103 29518
104 29305
105 29179
106 29112
107 29097
108 29310
109 29872
110 30737
111 31626
112 31953
113 32049
114 31969
115 31914
116 32081
117 32433
118 32537
119 32576
120 32602
121 32638
122 32640
123 32640
124 32640
125 32640
126 32640
127 32640
